Mom ID,i3000,i1279,i3001,i3001,i1262,i3001,i1279,i3079,i3010,i1279,i3011,i3012,i3016,i3017,i3018,i1270,i3019,i3020,i3020,i3017,i3017,i3018,i3021,i3024,i1262,i3011,i3025,NA,i3026,i1262,i1274,i1278,i3027,i1301,i1279,i1262,i3019,i3018,i3030,i1278,i3031,i1279,i3018,i3111,i1279,i3002,i3003,i3002,i3004,i3005,i1281,i3006,i3008,i3009,i1281,i3084,i3013,i3014,i3015,i3013,i1281,i3013,i1281,i3006,i3022,i3014,i3023,i1281,i3023,i3080,i1308,i3002,i3028,i3029,i3013,i3006,i3013,i3006,i3013,i3028,i3028,i3020,i3006,i1281,i3080,i3028,i3003,i3028,i1301
Birthdate,38505,38545,38505,38505,38515,38527,38535,38559,38505,38545,38547,38567,38505,38525,38529,38523,38505,38561,38565,38507,38517,38529,38569,38507,38529,38547,38561,38509,38521,38529,38519,38545,38569,38577,38519,38529,38521,38529,38521,38545,38571,38521,38531,38577,38549,38639,38641,38645,38515,38545,38587,38631,38645,38665,38587,38621,38655,38661,38671,38675,38607,38651,38597,38631,38675,38679,38685,38597,38685,38597,38613,38615,38617,38619,38623,38631,38641,38647,38623,38631,38641,38567,38647,38587,38597,38607,38609,38631,38587
ID,i1262,i1263,i1264,i1265,i1266,i1267,i1268,i1269,i1270,i1271,i1272,i1273,i1274,i1275,i1276,i1278,i1279,i1280,i1281,i1282,i1283,i1284,i1285,i1286,i1287,i1288,i1289,i1290,i1291,i1292,i1294,i1295,i1296,i1297,i1298,i1299,i1300,i1301,i1302,i1304,i1305,i1306,i1307,i1308,i1309,i3075,i3076,i3077,i3078,i3079,i3080,i3081,i3082,i3083,i3084,i3085,i3086,i3087,i3088,i3089,i3090,i3091,i3092,i3093,i3094,i3095,i3096,i3097,i3098,i3099,i3100,i3101,i3102,i3103,i3104,i3105,i3106,i3107,i3108,i3109,i3110,i3111,i3112,i3113,i3114,i3115,i3116,i3117,i3118
Vial,aa1,aa1,aa2,aa3,aa3,aa3,aa3,aa3,aa4,aa4,aa4(aa17),aa4,aa5,aa5,aa5,aa5 (aa16),aa6,aa6,aa6,aa7,aa7,aa7,aa7,aa8,aa8,aa8,aa8,aa9,aa9,aa9,aa10,aa10 (aa15),aa10,aa10,aa11,aa11,aa12,aa12 (aa13),aa13,aa14,aa14,aa15,aa15,aa16,aa18,aa1,aa1,aa1,aa2,aa2,aa2,aa3,aa3,aa3,aa4,aa4,aa4,aa4,aa4,aa4,aa5,aa6,aa7,aa7,aa7,aa7,aa7,aa8,aa8,aa9,aa10,aa10,aa10,aa11,aa11,aa11,aa11,aa11,aa12,aa12,aa12,aa13,aa13,aa14,aa14,aa14,aa14,aa14,aa15
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
33.000,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,0
35.000,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,0
37.000,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,0
39.000,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,0
41.000,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2
43.000,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2
45.000,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2
47.000,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2
49.000,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2
51.000,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2
53.000,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2
55.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2
57.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2
59.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
61.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
63.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
65.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
67.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
