Mom ID,i25,i2,i8,i2,i5,i1,i65,i8,i8,i10,i2,i99,i3,i29,i68,i40,i90,i103,i2,i4,i5,i83,i11,i82,i2,i4,i24,i22,i26,i40,i41,i37,i27,i10,i103,i7,i39,i16,i65,i90,i14,i103,i88,i30,i1,i35,i97,i12,i11,i23,i1,i107,i8,i4,i102,i48,i1649,i2299,i1651,i2285,i1661,i1666,i2291,i47,i2289,i2295,i1670,i1656,i1655,i2295,i48,i2296,i2288,i45,i1678,i2281
Birth Date,38501,38507,38515,38505,38511,38537,38541,38551,38551,38505,38513,38527,38527,38505,38531,38531,38567,38573,38507,38515,38523,38519,38573,38579,38507,38531,38519,38507,38517,38531,38561,38577,38507,38521,38563,38509,38561,38509,38539,38563,38511,38547,38583,38511,38537,38577,38539,38523,38547,38523,38527,38535,38551,38527,38539,38587,38617,38647,38675,38607,38615,38675,38587,38611,38651,38675,38621,38661,38623,38671,38601,38601,38625,38595,38615,38605
ID,i194,i195,i196,i197,i198,i199,i200,i201,i202,i203,i204,i205,i206,i207,i208,i209,i210,i211,i212,i213,i214,i215,i216,i217,i218,i219,i220,i221,i222,i223,i224,i225,i226,i227,i228,i229,i230,i231,i232,i233,i234,i235,i236,i237,i238,i239,i241,i242,i243,i244,i245,i246,i247,i248,i249,i1726,i1727,i1728,i1729,i1730,i1731,i1732,i1733,i1734,i1735,i1736,i1737,i1738,i1739,i1740,i1741,i1742,i1743,i1744,i1745,i1746
Vial,d1,d1,d1,d2,d2,d2,d2,d2,d2 (part  of d20),d3,d3,d3,d3 (d19),d4,d4,d4 (part of d17),d4,d4,d5,d5,d5,d5 (d16),d5,d5,d6,d6,d6 (d14),d7,d7,d7,d7,d7,d8,d8,d8,d9,d9,d10,d10,d10,d11,d11,d11,d12,d12,d12,d13,d15,d15,d17,d18,d18,d18,d20,d20,d1,d1,d1,d1,d2,d2,d2,d3,d3,d3,d3,d4,d4,d5,d5,d6,d7,d8,d9,d10,d11
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
35,-1,-1,2.266,-1,-1,-1,-1,-1,2.198,-1,-1,-1,2.444,-1,-1,-1,-1,2.321,-1,-1,-1,2.139,-1,2.222,-1,-1,2.327,-1,-1,-1,-1,-1,-1,2.37,2.346,2.387,-1,-1,-1,-1,-1,-1,-1,-1,2.222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.204,,-1,1.975,-1,,-1,-1,2.272,,2.247,2.247,-1,-1,1.748,-1
37,-1,-1,2.288,-1,-1,-1,-1,-1,2.296,-1,-1,-1,2.444,-1,-1,-1,-1,2.444,-1,-1,-1,2,-1,2.272,-1,-1,2.37,-1,-1,-1,-1,-1,-1,2.37,2.395,2.4,-1,-1,-1,-1,-1,-1,-1,-1,2.272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.198,,-1,-1,-1,,-1,-1,2.321,,2.37,2.321,-1,-1,-1,-1
39,-1,-1,2.287,-1,-1,-1,-1,-1,2.222,-1,-1,-1,2.469,-1,-1,-1,-1,2.346,-1,-1,-1,2.123,-1,-1,-1,-1,2.37,-1,-1,-1,-1,-1,-1,2.37,2.321,2.394,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.272,,-1,-1,-1,,-1,-1,2.321,,2.37,2.37,-1,-1,-1,-1
41,-1,-1,2.296,-1,-1,-1,-1,-1,2.272,-1,-1,-1,2.469,-1,-1,-1,-1,2.395,-1,-1,-1,2.173,-1,-1,-1,-1,2.37,-1,-1,-1,-1,-1,-1,2.444,2.296,2.43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.281,,-1,-1,-1,,-1,-1,2.321,,2.37,2.42,-1,-1,-1,-1
43,-1,-1,2.296,-1,-1,-1,-1,-1,2.148,-1,-1,-1,2.42,-1,-1,-1,-1,2.321,-1,-1,-1,2.222,-1,-1,-1,-1,2.444,-1,-1,-1,-1,-1,-1,-1,2.321,2.404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.321,,-1,-1,-1,,-1,-1,2.321,,2.2,2.265,-1,-1,-1,-1
45,-1,-1,2.296,-1,-1,-1,-1,-1,2.198,-1,-1,-1,2.42,-1,-1,-1,-1,2.346,-1,-1,-1,2.222,-1,-1,-1,-1,2.444,-1,-1,-1,-1,-1,-1,-1,2.444,2.443,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.346,,-1,-1,-1,,-1,-1,2.346,,2.444,2.346,-1,-1,-1,-1
47,-1,-1,2.346,-1,-1,-1,-1,-1,2.198,-1,-1,-1,2.519,-1,-1,-1,-1,2.346,-1,-1,-1,2.272,-1,-1,-1,-1,2.469,-1,-1,-1,-1,-1,-1,-1,2.444,2.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.272,,-1,-1,-1,,-1,-1,2.394,,2.395,-1,-1,-1,-1,-1
49,-1,-1,2.37,-1,-1,-1,-1,-1,2.198,-1,-1,-1,2.519,-1,-1,-1,-1,-1,-1,-1,-1,2.272,-1,-1,-1,-1,2.37,-1,-1,-1,-1,-1,-1,-1,2.469,2.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.346,,-1,-1,-1,,-1,-1,-1,,2.378,-1,-1,-1,-1,-1
51,-1,-1,2.42,-1,-1,-1,-1,-1,2.272,-1,-1,-1,2.395,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.37,-1,-1,-1,-1,-1,-1,-1,2.444,2.469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.444,,-1,-1,-1,,-1,-1,-1,,2.543,-1,-1,-1,-1,-1
53,-1,-1,2.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.519,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.395,-1,-1,-1,-1,-1,-1,-1,2.346,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.469,,-1,-1,-1,,-1,-1,-1,,2.494,-1,-1,-1,-1,-1
