Mom ID,i3016,i3034,i3043,i3060,i3010,i3052,i3019,i3043,i3045,i3046,i3046,na,i3034,i1274,i1274,i1262,i3026,i1286,i3012,i3017,i3012,i1270,i1300,i3012,i3018,i1276,i3017,i1300,i1276,i3026,i3048,i3031,i3011,i3048,i3025,i3058,i3026,i1269,i1279,i3061,i1269,i3026,i3031,i3005,i3048,i3005,i3021,i3031,i3111,i3029,i3063,i3059,i3091,i3077,i3091,i3091,i3021,i3015,i3038,i3062,i3062,i3059,i3038,i3058,i3055,i3008,i3038,i3064,i3014,i3111,i3031,i3059,i3040,i3062,i3080
Birthdate,38497,38497,38499,38501,38501,38501,38501,38501,38503,38509,38509,38511,38507,38517,38517,38515,38521,38517,38519,38537,38519,38535,38535,38519,38525,38541,38537,38535,38541,38537,38537,38571,38543,38551,38545,38551,38537,38573,38519,38577,38573,38547,38577,38545,38551,38545,38585,38593,38601,38619,38631,38649,38667,38655,38661,38667,38585,38655,38583,38601,38607,38655,38583,38589,38655,38675,38589,38607,38621,38595,38603,38661,38603,38611,38627
ID,i1482,i1483,i1484,i1485,i1486,i1487,i1488,i1489,i1491,i1494,i1495,i1496,i1502,i1504,i1505,i1506,i1507,i1508,i1509,i1510,i1511,i1512,i1513,i1515,i1516,i1517,i1518,i1519,i1520,i1521,i1524,i1525,i1526,i1527,i1528,i1529,i1530,i1531,i1532,i1533,i1534,i1535,i1536,i1537,i1538,i1539,i3184,i3185,i3186,i3187,i3188,i3189,i3190,i3191,i3192,i3193,i3194,i3195,i3196,i3197,i3198,i3199,i3200,i3201,i3202,i3203,i3204,i3205,i3206,i3207,i3208,i3209,i3210,i3211,i3212
Vial,e1,e2,e3,e4,e5,e6,e7,e8,e10,e13,e14,e15,e4,e9,e6,e8,e11,e12,e1,e1,e2,e2,e4,e5,e5,e5,e8,e9,e9,e11,e15,e1,e2,e3 (e17),e4,e4,e4 (e14),e4,e5 (e16),e7,e9,e10,e11,e13,e13,e17,e1,e1,e1,e1,e1,e2,e2,e3,e3,e3,e4,e4,e5,e5,e5,e5,e6,e6,e6,e6,e7,e7,e7,e8,e8,e8,e9,e10,e12
Age,1,2,3,4,5,6,7,8,10,13,14,15,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,39,40,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
33,-1,-1,2.199,-1,-1,-1,2.095,-1,1.728,1.975,-1,-1,-1,-1,1.852,-1,-1,2.025,-1,-1,-1,-1,-1,-1,-1,-1,1.704,-1,-1,1.654,-1,-1,1.901,2.025,-1,-1,1.728,-1,2.19,-1,-1,1.926,1.951,-1,-1,-1,-1,-1,-1,-1,1.901,-1,,-1,-1,,1.848,,-1,-1,1.791,,-1,1.678,-1,,-1,-1,1.516,-1,-1,-1,1.852,-1,-1
35,-1,-1,2.222,-1,-1,-1,2.049,-1,1.759,1.975,-1,-1,-1,-1,2.04,-1,-1,2.076,-1,-1,-1,-1,-1,-1,-1,-1,1.704,-1,-1,1.679,-1,-1,1.951,2.124,-1,-1,-1,-1,2.222,-1,-1,1.951,2.053,-1,-1,-1,-1,-1,-1,-1,1.897,-1,,-1,-1,,1.855,,-1,-1,1.905,,-1,1.592,-1,,-1,-1,1.481,-1,-1,-1,1.688,-1,-1
37,-1,-1,2.225,-1,-1,-1,2.043,-1,1.753,-1,-1,-1,-1,-1,1.975,-1,-1,2.049,-1,-1,-1,-1,-1,-1,-1,-1,1.753,-1,-1,1.679,-1,-1,1.951,2.159,-1,-1,-1,-1,2.173,-1,-1,1.975,2.063,-1,-1,-1,-1,-1,-1,-1,1.932,-1,,-1,-1,,1.922,,-1,-1,1.926,,-1,1.704,-1,,-1,-1,1.457,-1,-1,-1,-1,-1,-1
39,-1,-1,2.222,-1,-1,-1,2.074,-1,-1,-1,-1,-1,-1,-1,2.099,-1,-1,2.099,-1,-1,-1,-1,-1,-1,-1,-1,1.802,-1,-1,1.679,-1,-1,2,2.025,-1,-1,-1,-1,2.247,-1,-1,1.943,2.13,-1,-1,-1,-1,-1,-1,-1,2.049,-1,,-1,-1,,1.918,,-1,-1,1.795,,-1,1.709,-1,,-1,-1,1.511,-1,-1,-1,-1,-1,-1
41,-1,-1,2.222,-1,-1,-1,2.099,-1,-1,-1,-1,-1,-1,-1,2.099,-1,-1,2.099,-1,-1,-1,-1,-1,-1,-1,-1,1.827,-1,-1,-1,-1,-1,2.025,2.025,-1,-1,-1,-1,2.247,-1,-1,1.969,2.08,-1,-1,-1,-1,-1,-1,-1,2.047,-1,,-1,-1,,1.871,,-1,-1,1.804,,-1,1.653,-1,,-1,-1,1.6,-1,-1,-1,-1,-1,-1
43,-1,-1,2.245,-1,-1,-1,2.106,-1,-1,-1,-1,-1,-1,-1,2.025,-1,-1,2.099,-1,-1,-1,-1,-1,-1,-1,-1,1.827,-1,-1,-1,-1,-1,2.036,2.222,-1,-1,-1,-1,2.247,-1,-1,2,2.11,-1,-1,-1,-1,-1,-1,-1,1.917,-1,,-1,-1,,1.897,,-1,-1,1.951,,-1,1.731,-1,,-1,-1,1.663,-1,-1,-1,-1,-1,-1
45,-1,-1,2.272,-1,-1,-1,2.123,-1,-1,-1,-1,-1,-1,-1,1.975,-1,-1,2.099,-1,-1,-1,-1,-1,-1,-1,-1,1.704,-1,-1,-1,-1,-1,1.988,2.123,-1,-1,-1,-1,2.247,-1,-1,1.901,2.079,-1,-1,-1,-1,-1,-1,-1,1.909,-1,,-1,-1,,1.832,,-1,-1,1.909,,-1,1.663,-1,,-1,-1,1.621,-1,-1,-1,-1,-1,-1
47,-1,-1,2.272,-1,-1,-1,2.123,-1,-1,-1,-1,-1,-1,-1,2.074,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2.222,-1,-1,-1,-1,2.346,-1,-1,1.975,2.17,-1,-1,-1,-1,-1,-1,-1,2.107,-1,,-1,-1,,1.859,,-1,-1,1.801,,-1,1.802,-1,,-1,-1,1.762,-1,-1,-1,-1,-1,-1
49,-1,-1,2.321,-1,-1,-1,2.173,-1,-1,-1,-1,-1,-1,-1,2.074,-1,-1,2.049,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2.205,-1,-1,-1,-1,2.362,-1,-1,2,2.141,-1,-1,-1,-1,-1,-1,-1,1.921,-1,,-1,-1,,1.827,,-1,-1,-1,,-1,1.76,-1,,-1,-1,1.827,-1,-1,-1,-1,-1,-1
51,-1,-1,2.277,-1,-1,-1,2.139,-1,-1,-1,-1,-1,-1,-1,2.002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2.107,-1,-1,-1,-1,2.222,-1,-1,2.074,2.013,-1,-1,-1,-1,-1,-1,-1,2.101,-1,,-1,-1,,1.975,,-1,-1,-1,,-1,1.663,-1,,-1,-1,1.674,-1,-1,-1,-1,-1,-1
