Mom ID,na,i1278,i1299,i3079,i1281,i3079,i3111,i3090,i3090,i3090,i3091,i1278,i1299,i1281,i1269,i1269,i3111,i3111,i3085,i3091,i3077,i3090,i3090,i3090,i1281,i1278,i3102,i3118,i1281,i3118,i3080,i3118,i3090,i3077,i1308,i3111,i3077,i1308,i3090,i3090,i1269,i3090,i1269,i3111,i3107,i1301,i3084,i1281,i3111,i3118,i3118
Birthdate,38553,38555,38559,38559,38575,38581,38629,38637,38635,38673,38685,38589,38593,38597,38601,38605,38611,38629,38635,38661,38667,38673,38655,38673,38597,38603,38661,38599,38603,38629,38641,38629,38643,38667,38603,38609,38667,38603,38643,38667,38605,38667,38605,38609,38677,38605,38607,38607,38607,38609,38609
ID,i1588,i1589,i1590,i1591,i1592,i1593,i3288,i3289,i3290,i3291,i3292,i3293,i3294,i3295,i3296,i3297,i3298,i3299,i3300,i3301,i3302,i3303,i3304,i3305,i3306,i3307,i3308,i3309,i3310,i3311,i3312,i3313,i3314,i3315,i3316,i3317,i3318,i3319,i3320,i3321,i3322,i3323,i3324,i3325,i3326,i3327,i3328,i3329,i3330,i3331,i3332
Vial,maa1,maa2,maa2,maa3,maa4,maa4,maa1,maa1,maa2,maa2,maa2,maa3,maa3,maa3,maa3,maa3,maa3,maa3,maa3,maa3,maa3,maa3,maa4,maa4,maa5,maa5,maa5,maa6,maa7,maa7,maa7,maa8,maa8,maa8,maa9,maa9,maa9,maa10,maa10,maa10,maa11,maa11,maa12,maa12,maa12,maa13,maa14,maa15,maa16,maa17,maa18
67,,,21,,,30,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,24,,,,,
69,,,21,,,30,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,24,,,,,
71,,,21,,,30,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
73,,,21,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
