Mom ID,i186,i186,i182,i186,i166,i179,i189,i179,i183,i183,i183,i165,i179,i186,i161,i161,i165,i183,i151,i151,i186,i166,i183,i1705,i1708,i1718,i1714,i1715,i1718,i1713,i1717,i1718,i1899,i1717,i1717,i1705,i1708,i1710,i1899,i1717,i1721,i1721
Birth date,38553,38553,38561,38559,38555,38565,38555,38565,38559,38559,38555,38559,38565,38563,38555,38555,38559,38565,38561,38561,38563,38587,38583,38609,38641,38673,38621,38665,38683,38609,38629,38683,38663,38611,38625,38615,38647,38615,38663,38621,38667,38667
ID,i469,i470,i473,i475,i476,i477,i478,i479,i481,i485,i486,i488,i491,i494,i496,i497,i499,i502,i503,i504,i505,i509,i514,i1889,i1890,i1891,i1892,i1893,i1894,i1895,i1896,i1897,i1898,i1900,i1901,i1902,i1903,i1904,i1905,i1906,i1907,i1908
Vial,MC1,mc2,mc3,mc4,mc5,mc5,mc6,mc6,mc7,mc8,mc9,mc10,mc11,mc12,mc13,mc14,mc15,mc16,mc17,mc18,mc19,mc4,mc7,mc1,mc1,mc1,mc2,mc2,mc2,mc3,mc3,mc3,mc4,mc5,mc5,mc6,mc6,mc7,mc7,mc8,mc8,mc9
Age ,1,2,5,7,8,9,10,11,13,17,18,20,23,26,28,29,31,34,35,36,37,41,46,51,52,53,54,55,56,57,58,59,60,62,63,64,65,66,67,68,69,70
103.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
